,Ori name,New name,MASE_TYPE,Mase_OP,Original type,Quantized type,Changed
0,x,x,placeholder,placeholder,x,x,False
1,seq_blocks_0,seq_blocks_0,module,batch_norm1d,BatchNorm1d,BatchNorm1d,False
2,seq_blocks_1,seq_blocks_1,module_related_func,relu,ReLU,ReLU,False
3,seq_blocks_2,seq_blocks_2,module_related_func,linear,LinearInteger,LinearInteger,False
4,seq_blocks_3,seq_blocks_3,module,batch_norm1d,BatchNorm1d,BatchNorm1d,False
5,seq_blocks_4,seq_blocks_4,module_related_func,relu,ReLU,ReLU,False
6,seq_blocks_5,seq_blocks_5,module_related_func,linear,LinearInteger,LinearInteger,False
7,seq_blocks_6,seq_blocks_6,module,batch_norm1d,BatchNorm1d,BatchNorm1d,False
8,seq_blocks_7,seq_blocks_7,module_related_func,relu,ReLU,ReLU,False
9,seq_blocks_8,seq_blocks_8,module_related_func,linear,LinearInteger,LinearInteger,False
10,seq_blocks_9,seq_blocks_9,module,batch_norm1d,BatchNorm1d,BatchNorm1d,False
11,seq_blocks_10,seq_blocks_10,module_related_func,relu,ReLU,ReLU,False
12,output,output,output,output,output,output,False
